iter	Passed	Remaining
0	63	18993
1	80	11922
2	97	9649
3	114	8472
4	131	7754
5	142	6989
6	151	6337
7	157	5755
8	163	5275
9	168	4884
10	173	4561
11	178	4289
12	183	4049
13	188	3844
14	193	3670
15	198	3516
16	202	3376
17	207	3255
18	212	3144
19	217	3040
20	222	2949
21	227	2872
22	232	2795
23	236	2721
24	241	2656
25	246	2602
26	251	2546
27	256	2494
28	261	2443
29	266	2399
30	271	2354
31	276	2312
32	280	2272
33	285	2232
34	290	2197
35	295	2164
36	300	2132
37	304	2101
38	309	2069
39	314	2042
40	319	2015
41	323	1988
42	328	1962
43	333	1940
44	338	1918
45	343	1896
46	348	1875
47	352	1851
48	357	1831
49	362	1811
50	367	1792
51	372	1774
52	376	1753
53	381	1736
54	385	1718
55	390	1700
56	395	1685
57	400	1670
58	404	1653
59	409	1638
60	414	1622
61	419	1608
62	423	1593
63	428	1580
64	433	1565
65	437	1550
66	442	1538
67	447	1525
68	451	1512
69	456	1500
70	461	1487
71	465	1473
72	469	1460
73	474	1448
74	479	1437
75	483	1426
76	488	1414
77	493	1403
78	497	1391
79	502	1381
80	507	1371
81	512	1361
82	516	1350
83	521	1340
84	526	1331
85	531	1321
86	535	1311
87	539	1300
88	545	1292
89	549	1282
90	555	1275
91	559	1265
92	565	1257
93	569	1248
94	574	1240
95	579	1231
96	584	1224
97	589	1215
98	594	1207
99	600	1200
100	604	1191
101	609	1183
102	614	1175
103	619	1167
104	625	1161
105	629	1152
106	634	1145
107	639	1136
108	643	1128
109	648	1120
110	653	1113
111	658	1104
112	663	1097
113	667	1088
114	671	1081
115	676	1073
116	681	1065
117	686	1058
118	691	1052
119	696	1045
120	702	1038
121	706	1031
122	712	1024
123	717	1017
124	721	1010
125	726	1003
126	730	995
127	735	988
128	740	980
129	744	973
130	749	967
131	754	960
132	759	953
133	764	946
134	769	939
135	773	933
136	777	924
137	781	917
138	786	910
139	791	904
140	795	897
141	800	890
142	804	883
143	809	877
144	814	870
145	818	863
146	823	857
147	828	850
148	832	844
149	836	836
150	841	830
151	845	823
152	850	817
153	855	810
154	860	804
155	865	798
156	869	791
157	874	785
158	879	779
159	883	773
160	888	767
161	893	761
162	897	754
163	902	748
164	908	743
165	913	737
166	918	731
167	922	725
168	927	719
169	932	713
170	937	707
171	942	701
172	946	695
173	951	688
174	955	682
175	960	676
176	965	670
177	970	664
178	974	659
179	979	652
180	984	647
181	989	641
182	994	635
183	998	629
184	1003	624
185	1008	618
186	1013	612
187	1018	606
188	1023	600
189	1027	594
190	1032	589
191	1037	583
192	1041	577
193	1046	571
194	1051	566
195	1056	560
196	1060	554
197	1064	548
198	1069	542
199	1075	537
200	1080	531
201	1085	526
202	1089	520
203	1094	514
204	1098	509
205	1103	503
206	1107	497
207	1112	492
208	1117	486
209	1122	481
210	1127	475
211	1132	469
212	1137	464
213	1142	458
214	1147	453
215	1151	447
216	1155	442
217	1160	436
218	1165	430
219	1170	425
220	1175	420
221	1180	414
222	1184	409
223	1189	403
224	1193	397
225	1198	392
226	1203	386
227	1207	381
228	1212	376
229	1217	370
230	1222	365
231	1226	359
232	1231	354
233	1236	348
234	1241	343
235	1246	337
236	1250	332
237	1255	327
238	1260	321
239	1264	316
240	1270	310
241	1274	305
242	1279	300
243	1284	294
244	1289	289
245	1293	284
246	1298	278
247	1303	273
248	1307	267
249	1312	262
250	1317	257
251	1321	251
252	1326	246
253	1331	241
254	1336	235
255	1341	230
256	1346	225
257	1351	219
258	1355	214
259	1360	209
260	1365	203
261	1369	198
262	1374	193
263	1379	188
264	1384	182
265	1388	177
266	1393	172
267	1398	166
268	1403	161
269	1408	156
270	1412	151
271	1417	145
272	1421	140
273	1426	135
274	1431	130
275	1436	124
276	1440	119
277	1445	114
278	1450	109
279	1455	103
280	1460	98
281	1465	93
282	1469	88
283	1474	83
284	1479	77
285	1483	72
286	1488	67
287	1493	62
288	1497	57
289	1502	51
290	1507	46
291	1512	41
292	1516	36
293	1521	31
294	1525	25
295	1530	20
296	1535	15
297	1540	10
298	1544	5
299	1549	0
